,text,ward,district,province
21,"Tổ Dân Phố 3 Thị trấn Chư Prông, Chư Prông, Gia Lai",Chư Prông,Chư Prông,Gia Lai
22,"Xã Minh Đạo, Huyện Tiên Du, Tỉnh Bắc Ninh",Minh Đạo,Tiên Du,Bắc Ninh
23,"Xã Bồng Khê Huyện Con Cuông, Nghệ An",Bồng Khê,Con Cuông,Nghệ An
24,"Thôn 16 Cư Prông, Ea Kar, Đắk Lắk",Cư Prông,Ea Kar,Đắk Lắk
25,"Số 259/54/8, Tổ 28, KP1, Long Bình Tân, Biên Hòa, Đồng Nai.",Long Bình Tân,Biên Hòa,Đồng Nai
26,"Pháp Ngỡ, Vĩnh Hòa Vĩnh Lộc, Thanh Hóa",Vĩnh Hòa,Vĩnh Lộc,Thanh Hóa
27,"Thôn Chua Bình Minh, Thanh Oai, Hà Nội",Bình Minh,Thanh Oai,Hà Nội
28,"Tiểu khu 3, thị trấn Ba Hàng, huyện Phổ Yên, tỉnh Thái Nguyên.",,,
29,"Xóm 2, Hưng Mỹ, Hưng Nguyên, Nghệ An",Hưng Mỹ,Hưng Nguyên,Nghệ An
30,"Bương Hạ Nam, Quỳnh Ngọc Quỳnh Phụ, Thái Bình",Quỳnh Ngọc,Quỳnh Phụ,Thái Bình
31,"Nậm Cha Sìn Hổ, Lai Châu",Nậm Cha,Sìn Hồ,Lai Châu
32,"TDP Hạ 10, Tây Tựu Bắc Từ Liêm, Hà Nội",Tây Tựu,Bắc Từ Liêm,Hà Nội
33,"P. Nghi Hương Thị xã Cửa Lò, Nghệ An",Nghi Hương,Cửa Lò,Nghệ An
34,"Hoằng Anh Thành phố Thanh Hóa, Thanh Hóa",Hoằng Anh,Thanh Hóa,Thanh Hóa
35,"Ấp Phú Hữu Hữu Định, Châu Thành, Bến Tre",Hữu Định,Châu Thành,Bến Tre
36,"Phường Yên Thanh, thành phố Uông Bí, tỉnh Quảng Ninh.",Yên Thanh,Uông Bí,Quảng Ninh
37,"Khóm 1 TT Càng Long, Càng Long, Trà Vinh",Càng Long,Càng Long,Trà Vinh
38,"KP 1B, P.An Phú, TX.Thuận An, Bình Dương",An Phú,Thuận An,Bình Dương
39,"Thôn Xuân Lũng Bình Trung, Cao Lộc, Lạng Sơn",Bình Trung,Cao Lộc,Lạng Sơn
40,"Phường Hòa Cường Nam, Quận Hải Châu, Thành phố Đà Nẵng.",Hòa Cường Nam,Hải Châu,Đà Nẵng
41,"TT. Phù Mỹ Phù Mỹ, Bình Định",Phù Mỹ,Phù Mỹ,Bình Định
42,"Đô xá, Dân Lực, Triệu Sơn, Thanh Hoá.",Dân Lực,Triệu Sơn,Thanh Hóa
43,"154/4/81 Nguyễn - Phúc Chu, P15, TB, TP. Hồ Chí Minh",,,
44,"Xã Cao Dương, Huyện Thanh Oai, Thành phố Hà Nội",Cao Dương,Thanh Oai,Hà Nội
45,"Tổ 8, Ấp An Bình Minh Hòa, Châu Thành, Kiên Giang",Minh Hòa,Châu Thành,Kiên Giang
46,"Khu vực 1 TT Đức Hòa, Đức Hòa, Long An",Đức Hòa,Đức Hòa,Long An
47,"Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội",Định Công,Hoàng Mai,Hà Nội
48,"Khóm 1,Thị Trấn Tam Bình, Vĩnh Long",,Tam Bình,Vĩnh Long
49,"Mê linh Lâm hà,Lâm đồng",Mê Linh,Lâm Hà,Lâm Đồng
50,"Đức Long TP. Phan Thiết, Bình Thuận",Đức Long,Phan Thiết,Bình Thuận
51,"Phố Đức Sơn, TT Bút Sơn, Hoằng Hoá, Thanh Hoá.",Bút Sơn,Hoằng Hóa,Thanh Hóa
52,"Tổ 1, Phú trung P.An Lộc, TX.Bình Long, Bình Phước",An Lộc,Bình Long,Bình Phước
53,"Thái Hòa Huyện Thái Thụy, Thái Bình",Thái Hòa,Thái Thụy,Thái Bình
54,"Xã Thanh Hòa, Huyện Cai Lậy, Tỉnh Tiền Giang",Thanh Hòa,Cai Lậy,Tiền Giang
55,"Thôn 3 Sơn Hải, Quỳnh Lưu, Nghệ An",Sơn Hải,Quỳnh Lưu,Nghệ An
56,"Thôn Thành Bắc, Xã Quảng Thành, TP Thanh Hoá, Thanh Hoá",Quảng Thành,Thanh Hóa,Thanh Hóa
57,"Chùa hà, Định Trung, Vĩnh Yên Vĩnh Phúc",Định Trung,Vĩnh Yên,Vĩnh Phúc
58,"T. Phước Trạch 2 Ea Phê, Krông Păc, Đắk Lắk",Ea Phê,Krông Pắc,Đắk Lắk
59,"Xã Lương Lỗ, Huyện Thanh Ba, Tỉnh Phú Thọ",Lương Lỗ,Thanh Ba,Phú Thọ
60,"Khang Thọ Hưng Hoằng Đức, Hoằng Hóa, Thanh Hóa",Hoằng Đức,Hoằng Hóa,Thanh Hóa
61,Nam hải Nam trực - Nam định,Nam Hải,Nam Trực,Nam Định
62,"489/24A/18 Huỳnh Văn Bánh Phường 13, Phú Nhuận, TP. Hồ Chí Minh",13,Phú Nhuận,Hồ Chí Minh
63,"285 B/1A Bình Gĩa Phường 8,Vũng Tàu,Bà Rịa - Vũng Tàu",8,Vũng Tàu,Bà Rịa - Vũng Tàu
64,"Mỹ Hòa xã Mỹ Long, H.Cai Lậy, Tiền Giang",Mỹ Long,Cai Lậy,Tiền Giang
65,"Thới Hòa A Thị trấn Cờ Đỏ, Cờ Đỏ, Cần Thơ",Cờ Đỏ,Cờ Đỏ,Cần Thơ
66,"xã Minh Lãng, huyện Vũ Thư, tỉnh Thái Bình",Minh Lãng,Vũ Thư,Thái Bình
67,"Bộ Đầu Thống Nhất, Thường Tín, Hà Nội",Thống Nhất,Thường Tín,Hà Nội
68,"Xã Tân Bình Huyện Như Xuân, Thanh Hoá",Tân Bình,Như Xuân,Thanh Hóa
69,"Phố 2, Vân Giang Thành phố Ninh Bình, Ninh Bình",Vân Giang,Ninh Bình,Ninh Bình
70,"Thôn 1 Quảng Bị, Chương Mỹ, Hà Nội",Quảng Bị,Chương Mỹ,Hà Nội
71,"Xã Tân Minh, Huyện Sóc Sơn, Thành phố Hà Nội",Tân Minh,Sóc Sơn,Hà Nội
72,"Tổ 11 Sài Đồng, Long Biên, Hà Nội",Sài Đồng,Long Biên,Hà Nội
73,"4248 CT12C ĐTM K/Văn-K/Lũ Đại Kim, Hoàng Mai, Hà Nội",Đại Kim,Hoàng Mai,Hà Nội
74,"KP Phước Trung Thị trấn Đất Đỏ, Đất Đỏ, Bà Rịa - Vũng Tàu",Đất Đỏ,Đất Đỏ,Bà Rịa - Vũng Tàu
75,"55/30 Nguyễn - Thượng Hiền,P5,BT, TP. Hồ Chí Minh",5,Bình Thạnh,Hồ Chí Minh
76,"290 Tùng Thiện- Vương,P.13, Quận 8, TP. Hồ Chí Minh.",13,8,Hồ Chí Minh
77,"Tổ 5A2, KP5 TT. Trảng Bom, Trảng Bom, Đồng Nai",Trảng Bom,Trảng Bom,Đồng Nai
78,"8 Trịnh Văn Cấn P.C-Ô-Lãnh, Q.1, TP. Hồ Chí Minh",,1,Hồ Chí Minh
79,"Thôn Đồng Lực Hoàng Lâu, Tam Dương, Vĩnh Phúc",Hoàng Lâu,Tam Dương,Vĩnh Phúc
80,"Thái Hòa, Hợp Đồng Chương Mỹ, Hà Nội",Hợp Đồng,Chương Mỹ,Hà Nội
81,"Đồng Trạch, Bố Trạch Quảng Bình",Đồng Trạch,Bố Trạch,Quảng Bình
82,Thôn Yến Thạch Xá- Thạch Thất-Hà Nội,Thạch Xá,Thạch Thất,Hà Nội
83,"tổ 17 Cụm 3 Phú Thượng, Tây Hồ, Hà Nội",Phú Thượng,Tây Hồ,Hà Nội
84,"Bản U Gia Huổi Luông, Phong Thổ, Lai Châu",Huổi Luông,Phong Thổ,Lai Châu
85,"Khu phố Nam Tân, TT Thuận Nam, Hàm Thuận Bắc, Bình Thuận.",,,
86,"2 dãy C ngõ 16 Ngô Quyền, tổ 14, Quang Trung, Hà Đông, Hà Nội",Quang Trung,Hà Đông,Hà Nội
87,"Sơn Hà Nho Quan, Ninh Bình",Sơn Hà,Nho Quan,Ninh Bình
88,"3/107 Ngõ Quỳnh Thanh Nhàn, Hai Bà Trưng, Hà Nội",Thanh Nhàn,Hai Bà Trưng,Hà Nội
89,"Hàng Gòn Hàng Gòn, TX.Long Khánh, Đồng Nai",Hàng Gòn,Long Khánh,Đồng Nai
90,"Xã Nguyên Bình Huyện Tĩnh Gia, Thanh Hoá",Nguyên Bình,Tĩnh Gia,Thanh Hóa
91,"Cụm 5, Ngọc Tảo, Phúc Thọ Hà Nội",Ngọc Tảo,Phúc Thọ,Hà Nội
92,"Hoằng Minh, Hoằng Hóa Thanh Hóa",Hoằng Minh,Hoằng Hóa,Thanh Hóa
93,"Châu Thạnh Châu Phú A, Châu Đốc, An Giang",Châu Phú A,Châu Đốc,An Giang
94,"Liên Bình, Hải Bình Tĩnh Gia, Thanh Hóa",Hải Bình,Tĩnh Gia,Thanh Hóa
95,"Long Bình 1, An Hải, Ninh Phước, Ninh Thuận",An Hải,Ninh Phước,Ninh Thuận
96,"Ấp 17 Long Trung, Cai Lậy, Tiền Giang",Long Trung,Cai Lậy,Tiền Giang
97,"249,KP.2,Tân mai,Biên Hòa, Đồng Nai",Tân Mai,Biên Hòa,Đồng Nai
98,"Sơn Thủy, Lệ Thủy Quảng Bình",Sơn Thủy,Lệ Thủy,Quảng Bình
99,"02 Tú Xương, Đông Thọ Thành phố Thanh Hóa, Thanh Hóa",Đông Thọ,Thanh Hóa,Thanh Hóa
100,"Tân Trung Tân Thành, Tân Châu, Tây Ninh",Tân Thành,Tân Châu,Tây Ninh
101,"Số 43/7 Nguyễn Huệ, P.Sao Đỏ, TX.Chí Linh, Hải Dương",Sao Đỏ,Chí Linh,Hải Dương
102,"24/98C, Phố Hữu Nghị Xuân Khanh, Sơn Tây, Hà Nội",Xuân Khanh,Sơn Tây,Hà Nội
103,"Tổ 2, Khu phố 2, Phường Long Thủy, Phước Long, Bình Phước.",Long Thủy,Phước Long,Bình Phước
104,"Hà Tân Hưng Hà, Tân Hưng, Long An",Hưng Hà,Tân Hưng,Long An
105,"Ngọc Chi, Vĩnh Ngọc Đông Anh, Hà Nội",Vĩnh Ngọc,Đông Anh,Hà Nội
106,"55/21/1 Khu phố 2, Thới An Quận 12, TP. Hồ Chí Minh",Thới An,12,Hồ Chí Minh
107,"Thạch Bình, Thạch Thành Thanh Hóa",Thạch Bình,Thạch Thành,Thanh Hóa
108,"- Khu B Chu Hoà, Việt HhiPhú Thọ",,,
109,"Thôn Am, xã Xuân Hương, Lạng Giang, Bắc Giang.",Xuân Hương,Lạng Giang,Bắc Giang
110,"Số 7/Q3, KPI, Phường Long Bình Tân, Tp Biên Hoà, Đồng Nai.",Long Bình Tân,Biên Hòa,Đồng Nai
111,"Khu 1, Trung Giáp, Phù Ninh, Phú Thọ.",Trung Giáp,Phù Ninh,Phú Thọ
112,"A:12A.21BlockA C/c BCA,P.AnKhánh,TP.Thủ Đức, TP. HCM",,Thủ Đức,Hồ Chí Minh
113,"L10C12 Hẻm 90, Ng, Bỉnh Khiêm, TP. Rạch Giá, Kiên Giang",,,Kiên Giang
114,"Thôn Lý Viên Bắc Lý, Hiệp Hòa, Bắc Giang",Bắc Lý,Hiệp Hòa,Bắc Giang
115,"51 Phạm Ngũ Lão, Lê Lợi Sơn Tây, Hà Nội",Lê Lợi,Sơn Tây,Hà Nội
116,"107 Lê Sao Phú Thạnh, Tân Phú, TP. Hồ Chí Minh.",Phú Thạnh,Tân Phú,Hồ Chí Minh
117,"Mỹ Phú 5 Tường Lộc, Tam Bình, Vĩnh Long",Tường Lộc,Tam Bình,Vĩnh Long
118,"Thôn Mùi, Bích Hòa Thanh Oai, Hà Nội",Bích Hòa,Thanh Oai,Hà Nội
119,"thôn 2 Suối Rao, Châu Đức, Bà Rịa - Vũng Tàu",Suối Rao,Châu Đức,Bà Rịa - Vũng Tàu
120,"P. Minh Xuân TP. Tuyên Quang, Tuyên Quang",Minh Xuân,Tuyên Quang,Tuyên Quang
121,"Long Bình, An Hải, Ninh Phước, Ninh Thuận",An Hải,Ninh Phước,Ninh Thuận
122,"14.5 Block A2, The Mansion, ĐS 7,KDC 13E,Ấp 5,PP,BC, TP.HCM",,,Hồ Chí Minh
123,"Xã Yên Sơn, Huyện Lục Nam, Tỉnh Bắc Giang",Yên Sơn,Lục Nam,Bắc Giang
124,"161/18A Cô Giang, Cô Giang Quận 1, TP. Hồ Chí Minh",Cô Giang,1,Hồ Chí Minh
125,"Tân Thắng Tân An Hội, Mang Thít, Vĩnh Long",Tân An Hội,Mang Thít,Vĩnh Long
126,"Thôn 6, Nam Chính, Đức Linh, Bình Thuận.",Nam Chính,Đức Linh,Bình Thuận
127,"Phố Tân Mỹ Thị trấn Me, Gia Viễn, Ninh Bình",Me,Gia Viễn,Ninh Bình
128,"P.Phan thiết, Thị Xã Tuyên Quang, Tuyên Quang",Phan Thiết,Tuyên Quang,Tuyên Quang
129,Trung Môn Yên Sơn - Tuyên Quang,Trung Môn,Yên Sơn,Tuyên Quang
130,"31B Sư Vạn Hạnh, Phường 3 Quận 10, TP. Hồ Chí Minh",3,10,Hồ Chí Minh
131,"Tề Lễ Tam Nông, Phú Thọ",Tề Lễ,Tam Nông,Phú Thọ
132,"Số 10, Ngách 43/3, Ngõ 43 Nguyễn Ngọc Nại, Khương Mai, Thanh Xuân, Hà Nội.",Khương Mai,Thanh Xuân,Hà Nội
133,"191A Nguyễn Thị Định An Phú, Quận 2, Tp Hồ Chí Minh",An Phú,2,Hồ Chí Minh
134,"Tường Ngãi Nhơn Bình,Trà Ôn, Vĩnh Long",Nhơn Bình,Trà Ôn,Vĩnh Long
135,"Tổ 03 Hòa Thọ Đông, Cẩm Lệ. Đà Nẵng.",Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng
136,"Khu 5, Ngô Quyền, Vĩnh Yên Vĩnh Phúc",Ngô Quyền,Vĩnh Yên,Vĩnh Phúc
137,"Tổ 11, Ấp Tây Kim Sơn, Châu Thành, Tiền Giang",Kim Sơn,Châu Thành,Tiền Giang
138,"Số 1410 Đường 30/4, Phường 12, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu.",12,Vũng Tàu,Bà Rịa - Vũng Tàu
139,"F2B PhanVănTr P.5,GV,TP.Hồ Chí Minh",,,Hồ Chí Minh
140,"Chiêu Yên Yên Sơn, Tuyên Quang",Chiêu Yên,Yên Sơn,Tuyên Quang
141,"Ấp Thạnh Hiệp Hòa Thạnh, Tam Bình, Vĩnh Long",Hòa Thạnh,Tam Bình,Vĩnh Long
142,"Phường Lê Hồng Phong Tp. Quy Nhơn, tỉnh Bình Định.",Lê Hồng Phong,Quy Nhơn,Bình Định
143,"7/3/4/16 Thành Thái Phường 14, Quận 10, TP. Hồ Chí Minh",14,10,Hồ Chí Minh
144,"Ấp Bùng Binh, Hưng Thuận, Trảng Bàng, Tây Ninh",Hưng Thuận,Trảng Bàng,Tây Ninh
145,"Quang Xá, Quang Hưng, Phù Cừ, Hưng Yên",Quang Hưng,Phù Cừ,Hưng Yên
146,"Thôn Lùng Bẻ Kim Linh, Vị Xuyên, Hà Giang",Kim Linh,Vị Xuyên,Hà Giang
147,"Xã Krông Búk Huyện Krông Păc, Đắk Lắk",KRông Búk,Krông Pắc,Đắk Lắk
148,"820/12 Hậu Giang, Phường 12 Quận 6, TP. Hồ Chí Minh",12,6,Hồ Chí Minh
149,"Mỹ Hưng Hòa,Mỹ Xương,Cao Lãnh, Đồng Tháp.",Mỹ Xương,Cao Lãnh,Đồng Tháp
150,"Liên Minh,,TỉnhThái Nguyên",Liên Minh,,Thái Nguyên
151,X Bình Thuận H.Tây Son Tỉnh Bình Định,Bình Thuận,Tây Sơn,Bình Định
152,", Gia Viễn, T. Ninh Binh",,Gia Viễn,Ninh Bình
153," Chợ Chu, , T Thái Nguyên",Chợ Chu,,Thái Nguyên
154,Hải Ba  Hải Lăng ,Hải Ba,Hải Lăng,
155, Huyện Cẩm Thủy Tỉnh Thanh Hóa,,Cẩm Thủy,Thanh Hóa
156,Phường Phú Lợi  TBình Dương,Phú Lợi,,Bình Dương
157," Tự Lạn, HuyệnViệt Yên, T Bắc Giang",Tự Lạn,Việt Yên,Bắc Giang
158," Bình Hiệp,H.Bình Sơn,TỉnhQuảng Ngãi",Bình Hiệp,Bình Sơn,Quảng Ngãi
159,"X. Trà Sơn,Huyện Trà Bồng,T.Quảng mNgãi",Trà Sơn,Trà Bồng,Quảng Ngãi
160,"X Vĩnh Lợi, Huyện Châu Thành, Tỉnhan Giang",Vĩnh Lợi,Châu Thành,An Giang
161,"Van Điểm, H hường TLín, Thành phốHa Nội",Vạn Điểm,Thường Tín,Hà Nội
162,Thị Trấn Yên Bình  Yên Bình T Yên Bái,Yên Bình,Yên Bình,Yên Bái
163,"XThạnh Đức, HGò Dầ6u, T Tây Ninh",Thạnh Đức,Gò Dầu,Tây Ninh
164,"X.Thài Phìn Tủng, Huyện ĐồGg Van,  Hà Gxiang",Thài Phìn Tủng,Đồng Văn,Hà Giang
165,"XãBù Gia Mập,,T Bình Phước",Bù Gia Mập,,Bình Phước
166,Xã Mỹ Lương Yên Lập ,Mỹ Lương,Yên Lập,
167,",H.Nqm Đàn, nghệ An",,Nam Đàn,Nghệ An
168,", H Nam Trực, Nam Đị8nh",,Nam Trực,Nam Định
169, Tam GiangNăm CănT.Cà Mau,Tam Giang,Năm Căn,Cà Mau
170, Huyện Khánh Sơn TKhánh Hòa,,Khánh Sơn,Khánh Hòa
171,Xã La Dêê  Quảng Nam,La Dêê,,Quảng Nam
172,"XTân Thạnh, hAn Minh ",Tân Thạnh,An Minh,
173,"X Cam Bình, Thành FhốCam Rah,  Khánh Hòa",Cam Bình,Cam Ranh,Khánh Hòa
174,X.UThạnh Lợi  TỉnhLong An,Thạnh Lợi,,Long An
175," Minh Tân,h.Lưng Tai,",Minh Tân,Lương Tài,
176,"XãQuỳn1 Lâm, H. Quỳnh Phụ,  Thai Bình",Quỳnh Lâm,Quỳnh Phụ,Thái Bình
177,"X.Nà Tấu, , T.Điện Biên",Nà Tấu,,Điện Biên
178,X.Hiep Tung Huyện Năm Căn T.Cà Mau,Hiệp Tùng,Năm Căn,Cà Mau
179,"Yên Bình, H fHữu Lũng, Lạng Sơn",Yên Bình,Hữu Lũng,Lạng Sơn
180,"P.tự Anm T.PhốBuôn Ma Thuột, T. Đắk Lăk",Tự An,Buôn Ma Thuột,Đắk Lắk
181,"X.Đức Bác, Sông Lô,T.Vĩnh Phúc",Đức Bác,Sông Lô,Vĩnh Phúc
182,", HuyệnChâu Thành, TỉnhTiền Giang",,Châu Thành,Tiền Giang
183," H. Định Quán, Đồng Nai",,Định Quán,Đồng Nai
184, tPPhổ Yên Tỉnh Thái Nguyên,,Phổ Yên,Thái Nguyên
185,X. Hà Hồi H. Thường Tin TPHàNội,Hà Hồi,Thường Tín,Hà Nội
186, Huyện Hiêp Hòa Bắc Giang,,Hiệp Hòa,Bắc Giang
187,  Đông Giang T Quảyg Nm,,Đông Giang,Quảng Nam
188,Sơn Thủy T Quảng Bình,Sơn Thủy,,Quảng Bình
189,"X. Hoằng Lưu, Hoăng Hóa, TỉnhThanh Hóa",Hoằng Lưu,Hoằng Hóa,Thanh Hóa
190,"Xan Tiến, H. An Lão, ",An Tiến,An Lão,
191,"XGia Hội,h.Văn Chấn,TỉnhYênKBái",Gia Hội,Văn Chấn,Yên Bái
192, Tam Văn  xLang Chánh  Thanh Hóa,Tam Văn,Lang Chánh,Thanh Hóa
193,"X. HoDng Quỳ,,9hanh Hóa",Hoằng Quỳ,,Thanh Hóa
194,"XãBình Chau,  Bình Sơn, Tỉnh Quảng Ngãi",Bình Châu,Bình Sơn,Quảng Ngãi
195,"X.Tân Tiến,H.Đồng Phú,",Tân Tiến,Đồng Phú,
196,FHim Lam   Điện Biê,Him Lam,,Điện Biên
197,PHoà Quý Q.ngũ Hành sơn Đà Nẵng,Hoà Quý,Ngũ Hành Sơn,Đà Nẵng
198, BảIn Sen H Mường Khương T5Lào Cai,Bản Sen,Mường Khương,Lào Cai
199,"X Phong Quang, HKuyệnVị Xuyên, Tỉnh Hà Giang",Phong Quang,Vị Xuyên,Hà Giang
200,"XãV Ninh, Kiên Xương,",Vũ Ninh,Kiến Xương,
201, TP Biên Hòa TỉnhĐyng Nai,,Biên Hòa,Đồng Nai
202,X. Trà DVưong Bắc Trà My TQuảg Nam,Trà Dương,Bắc Trà My,Quảng Nam
203,X.Vĩnh thắng Gò quao T Kiên Giang,Vĩnh Thắng,Gò Quao,Kiên Giang
204, H.Bắc Mê TỉnhHà Giang,,Bắc Mê,Hà Giang
205,"X.Thiết Kế,H.Bá Thước,",Thiết Kế,Bá Thước,
206,Phưng Khâm Thiên Quận Đ.Đa T.Phố HàNội,Khâm Thiên,Đống Đa,Hà Nội
207,"X Quỳnh Nuyên,,T. Thái Bình",Quỳnh Nguyên,,Thái Bình
208,"XVnh Hung, , T.Thanh Hóa",Vĩnh Hùng,,Thanh Hóa
209,"X.Tăng Thanh, H Yên Thành, ",Tăng Thành,Yên Thành,
210,"XãTrung Lập,  Vĩnh Bảo,7 ",Trung Lập,Vĩnh Bảo,
211,Phường Ngoc Thụy  Thành phốHà Nội,Ngọc Thụy,,Hà Nội
212,", Huyện Maỹ Lộc, TỉnhD Nam Định",,Mỹ Lộc,Nam Định
213,X.Yên Lạc HuyệnNhu Thanh Tỉnh Thanh Hóa,Yên Lạc,Như Thanh,Thanh Hóa
214,"TT Qu7 Nhất,,Tỉnh Nam Định",Quỹ Nhất,,Nam Định
215,"QX.Tân Hưng Tây, Ph8 Tân,",Tân Hưng Tây,Phú Tân,
216,", Huyện Cẩm Thủy, T.Thanh Hóca",,Cẩm Thủy,Thanh Hóa
217,"X.Phong Dụ, , Quảng Ninh",Phong Dụ,,Quảng Ninh
218,XãPhú Hưng  TBến tre,Phú Hưng,,Bến Tre
219,XAn Thủy Huyện Lệe Thủy TQuảng Bình,An Thủy,Lệ Thủy,Quảng Bình
220,"XBình PhúN  Càng Long, T.u trà Vinh",Bình Phú,Càng Long,Trà Vinh
221,"Phưong Thọ Son,T.Phố Việt Trì, Phú Thọ",Thọ Sơn,Việt Trì,Phú Thọ
222,"XHòa Bqc, HDi Linh, ",Hòa Bắc,Di Linh,
223," Cộng Hòa,,TỉnhHaOi Dương",Cộng Hòa,,Hải Dương
224,"Đai TanHuyện Đại ộc,TỉnhQuảng Nam",Đại Tân,Đại Lộc,Quảng Nam
225, HBảo Lâm 8 Cao Bằng,,Bảo Lâm,Cao Bằng
226,X. Sin Suối Hồ HPhong Thổ t Lai Châu,Sin Suối Hồ,Phong Thổ,Lai Châu
227,X Sùng Phài T.P zai Châu T.Lai Châu,Sùng Phài,Lai Châu,Lai Châu
228, An Lowng Phú Giáo TBinh Dương,An Long,Phú Giáo,Bình Dương
229,X Tân7 Thịnh  Yiên Bái T. yên Bái,Tân Thịnh,Yên Bái,Yên Bái
230,"XKHoan Sơn,TiênDu,Tỉnhbac Ninh",Hoàn Sơn,Tiên Du,Bắc Ninh
231, Hải An  Hải Lăng TQdung trị,Hải An,Hải Lăng,Quảng Trị
232, Tp Hà Tiên Tỉnh Kiên Giang,,Hà Tiên,Kiên Giang
233,Thị trấn Hai Riêng H Sông Hinh ,Hai Riêng,Sông Hinh,
234,X. Diễn Thành Huyện Diên Châu ,Diễn Thành,Diễn Châu,
235,",Bảo Lâ.,Tỉnh Cao Bằng",,Bảo Lâm,Cao Bằng
236,"Xã thanh Vĩnh Đông, HuyệnChâu Thành, TLong An",Thanh Vĩnh Đông,Châu Thành,Long An
237,"X.Chê La,,T.Hà GianZ",Chế Là,,Hà Giang
238,Hôno Sỹ  Tỉnh Cao Bằng,Hồng Sỹ,,Cao Bằng
239,X. Hành Tín Tây  T.Quảng Ngãi,Hành Tín Tây,,Quảng Ngãi
240,F An lac Chí Linh Tỉnh Hải Dương,An Lạc,Chí Linh,Hải Dương
241,", HXuân Lộc,  Đồng Nai",,Xuân Lộc,Đồng Nai
242," Hòa Lợi,, Trà vinh",Hòa Lợi,,Trà Vinh
243,"Phường Hiệ An, T.X.Kinh Môn, TỉnhHải Dương",Hiệp An,Kinh Môn,Hải Dương
244,Xã Trịnh Tường H Bát Xát ,Trịnh Tường,Bát Xát,
245,XãChiềng Mu5ng  T.stn la,Chiềng Mung,,Sơn La
246,"Fmễ Trì, Nam Từ Liêm, Thành phố HN",Mễ Trì,Nam Từ Liêm,Hà Nội
247,P4 T.Ph9ốĐông Hà ,4,Đông Hà,
248,"F. Trần Hưng Đao,Phủ Ly,TỉnhH  Nam",Trần Hưng Đạo,Phủ Lý,Hà Nam
249,Tông Lạnh H.Thuận Chru TSơn La,Tông Lạnh,Thuận Châu,Sơn La
250, T.PhôSông Công t. Thái Nguyên,,Sông Công,Thái Nguyên
251,"F.07, Q6, ",07,6,
252,"P.Xuân Lam, Thuận Thành, T.Bắc Ninh",Xuân Lâm,Thuận Thành,Bắc Ninh
253,XãĐông h KBang TGia Lai,Đông,KBang,Gia Lai
